title_hint,url,published_raw,source_year,source_type
IC3 Annual Internet Crime Report 2023,https://www.ic3.gov/Media/PDF/AnnualReport/2023_IC3Report.pdf,"January 1, 2024",2023,AnnualReport_PDF
IC3 Annual Internet Crime Report 2022,https://www.ic3.gov/Media/PDF/AnnualReport/2022_IC3Report.pdf,"January 1, 2023",2022,AnnualReport_PDF
IC3 Annual Internet Crime Report 2021,https://www.ic3.gov/Media/PDF/AnnualReport/2021_IC3Report.pdf,"January 1, 2022",2021,AnnualReport_PDF
IC3 Annual Internet Crime Report 2020,https://www.ic3.gov/Media/PDF/AnnualReport/2020_IC3Report.pdf,"January 1, 2021",2020,AnnualReport_PDF
IC3 Annual Internet Crime Report 2019,https://www.ic3.gov/Media/PDF/AnnualReport/2019_IC3Report.pdf,"January 1, 2020",2019,AnnualReport_PDF
IC3 Annual Internet Crime Report 2018,https://www.ic3.gov/Media/PDF/AnnualReport/2018_IC3Report.pdf,"January 1, 2019",2018,AnnualReport_PDF
