doc_id,title,source,source_type,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
52c14f3459e857,IC3 Annual Internet Crime Report 2022,IC3 - Annual Report 2022,AnnualReport_PDF,2023-01-01,50,1191.98,810,1200
6743677833223e,IC3 Annual Internet Crime Report 2021,IC3 - Annual Report 2021,AnnualReport_PDF,2022-01-01,58,1195.5862068965516,957,1200
ac03c011863c0a,IC3 Annual Internet Crime Report 2019,IC3 - Annual Report 2019,AnnualReport_PDF,2020-01-01,47,1176.4255319148936,153,1200
b59e129eeee4b2,IC3 Annual Internet Crime Report 2023,IC3 - Annual Report 2023,AnnualReport_PDF,2024-01-01,53,1195.6037735849056,985,1200
c0df053b64493a,IC3 Annual Internet Crime Report 2018,IC3 - Annual Report 2018,AnnualReport_PDF,2019-01-01,49,1186.857142857143,569,1200
ce808f69a013bb,IC3 Annual Internet Crime Report 2020,IC3 - Annual Report 2020,AnnualReport_PDF,2021-01-01,51,1195.078431372549,971,1200
