doc_id,title,source,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
2c4a8db8cd23c7,South Florida Tax Preparer and Two Others Sentenced for Conspiring to Defraud COVID-19 Relief Program,FBI - National,2026-03-10,1,194.0,194,194
2c544aa086d20b,United States Leads Dismantlement of One of the World’s Largest Hacker Forums,FBI - National,2026-03-04,1,154.0,154,154
2c7cde98d66137,Wagoner Resident Sentenced for Assault Resulting in Serious Bodily Injury,FBI - National,2026-03-04,1,174.0,174,174
2c898cc5dbfe6e,Two ISIS Supporters Charged with Attempting to Detonate Explosive Devices During Protests Outside Gracie Mansion,FBI - National,2026-03-09,1,208.0,208,208
2d3faf7c9a4b5d,Florida Nursing Assistant Sentenced to Nine Years in Prison for $11.4 Million Health Care Fraud Scheme Targeting Medicare Beneficiaries,FBI - National,2026-04-14,1,178.0,178,178
30a719ed91edb9,Roanoke Man Sentenced for Possessing Child Sexual Exploitation Material,FBI - National,2026-03-03,1,177.0,177,177
314fc7535601d5,Minnesota Man Sentenced for Threatening to Murder a Member of Congress,FBI - National,2026-03-18,1,160.0,160,160
3180ead68b7160,Member of the Lynn Chapter of the Trinitarios Pleads Guilty to Racketeering Conspiracy,FBI - National,2026-04-10,1,163.0,163,163
3301da267d36a3,Placerville Man Pleads Guilty to Interstate Theft Conspiracy,FBI - National,2026-03-05,1,155.0,155,155
33a9efa712a041,Jacksonville Marketing Company Owner Pleads Guilty to Conspiring to Defraud Medicare and Medicaid in the Provision of HIV Prophylactic Medications,FBI - National,2026-03-03,1,167.0,167,167
33d51011f8b0ae,"Tampa Man Indicted for Attempted Production, Receipt, and Transfer of Obscene Material to a Minor",FBI - National,2026-03-06,1,166.0,166,166
3519ac7b76db85,"Ohio Man Charged with Stalking, Making Threatening Communications, and Submitting False Reports to the FBI",FBI - National,2026-03-09,1,163.0,163,163
376d48c59c8a81,Johnstown Resident Sentenced to 12 Years in Prison for Drug Trafficking,FBI - National,2026-04-08,1,195.0,195,195
38d9b1a5bb7a88,Hard Money Lender Pleads Guilty to Defrauding Investors in Two Cases Involving Bitwise Industries and Voyager Pacific Capital Management Totaling $45 Million in Losses,FBI - National,2026-04-20,1,167.0,167,167
3b5035e2b762ab,Alabama Man Sentenced to Eight Years in Federal Prison for Leadership Role in Alien Smuggling Organization,FBI - National,2026-04-10,1,167.0,167,167
3b7a805779860f,Veterinarian Arrested for Sending Threatening Text Message and Transporting Minors in Interstate Commerce with the Intent to Engage in Sexual Acts,FBI - National,2026-04-13,1,163.0,163,163
3c12ed427dccd3,Hastings Woman Sentenced to More Than 26 Years for Conspiracy to Distribute Controlled Substances and Gun Charge,FBI - National,2026-04-06,1,151.0,151,151
3c535dc48b573c,Wilmington Man Indicted After Machinegun and Manifesto Are Found,FBI - National,2026-04-20,1,157.0,157,157
